Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
100.00,+57.14%,130.10,132.98,135.85,131.35,13.35,+11.31%,6,65,0.09,409.83%,Call,06/11/21
105.00,+55.00%,125.20,128.03,130.85,122.70,-46.72,-27.58%,2,41,0.05,389.06%,Call,06/11/21
110.00,+52.86%,119.80,122.82,125.85,119.35,-0.85,-0.71%,4,29,0.14,369.29%,Call,06/11/21
115.00,+50.72%,116.45,118.65,120.85,116.10,-87.58,-43.00%,9,24,0.38,238.55%,Call,06/11/21
120.00,+48.57%,111.45,114.23,117.00,102.06,-21.64,-17.49%,3,51,0.06,267.43%,Call,06/11/21
125.00,+46.43%,106.45,108.85,111.25,99.95,-1.05,-1.04%,12,43,0.28,229.91%,Call,06/11/21
130.00,+44.29%,101.45,103.85,106.25,82.92,-67.78,-44.98%,12,54,0.22,217.02%,Call,06/11/21
135.00,+42.14%,96.45,99.43,102.40,95.20,-24.95,-20.77%,2,35,0.06,234.52%,Call,06/10/21
140.00,+40.00%,91.45,94.55,97.65,81.85,-0.76,-0.92%,2,318,0.01,226.03%,Call,06/11/21
145.00,+37.86%,86.45,89.55,92.65,141.78,47.07,+49.70%,11,207,0.05,212.80%,Call,06/02/21
150.00,+35.72%,81.45,84.15,86.85,79.65,6.10,+8.29%,44,212,0.21,184.47%,Call,06/11/21
155.00,+33.57%,76.45,79.80,83.15,95.50,-65.70,-40.76%,4,186,0.02,195.37%,Call,06/10/21
160.00,+31.43%,72.50,75.35,78.20,75.08,8.91,+13.47%,37,214,0.17,190.51%,Call,06/11/21
165.00,+29.29%,67.50,70.53,73.55,64.01,6.96,+12.20%,11,94,0.12,188.44%,Call,06/11/21
170.00,+27.14%,62.50,65.55,68.60,64.03,9.63,+17.70%,19,451,0.04,134.96%,Call,06/11/21
175.00,+25.00%,58.20,61.35,64.50,54.13,1.41,+2.67%,23,136,0.17,178.62%,Call,06/11/21
180.00,+22.86%,53.85,56.95,60.05,49.73,-3.37,-6.35%,47,793,0.06,175.26%,Call,06/11/21
185.00,+20.72%,51.45,53.78,56.10,53.40,7.37,+16.01%,50,240,0.21,182.32%,Call,06/11/21
190.00,+18.57%,47.40,49.47,51.55,44.24,-1.63,-3.55%,19,533,0.04,181.43%,Call,06/11/21
195.00,+16.43%,44.00,45.98,47.95,42.34,6.02,+16.57%,30,400,0.08,183.57%,Call,06/11/21
200.00,+14.29%,39.25,41.50,43.75,42.00,1.67,+4.14%,283,"2,233",0.13,178.81%,Call,06/11/21
205.00,+12.15%,35.80,38.05,40.30,37.25,4.08,+12.30%,62,126,0.49,165.43%,Call,06/11/21
210.00,+10.00%,32.80,34.80,36.80,33.70,-1.45,-4.13%,468,"1,063",0.44,162.89%,Call,06/11/21
220.00,+5.72%,28.90,29.65,30.40,29.35,-0.65,-2.17%,"2,547",744,3.42,176.49%,Call,06/11/21
225.00,+3.57%,26.35,27.18,28.00,27.42,-0.45,-1.61%,"1,027",237,4.33,182.24%,Call,06/11/21
230.00,+1.43%,24.20,24.85,25.50,25.26,-1.29,-4.86%,"1,100",729,1.51,184.52%,Call,06/11/21
235.00,-0.71%,22.05,22.85,23.65,23.20,-1.35,-5.50%,575,85,6.76,186.19%,Call,06/11/21
240.00,-2.85%,20.05,20.95,21.85,21.00,-1.40,-6.25%,"1,112",757,1.47,185.48%,Call,06/11/21
245.00,-5.00%,18.65,19.60,20.55,19.20,-2.40,-11.11%,320,272,1.18,186.66%,Call,06/11/21
250.00,-7.14%,17.55,18.05,18.55,17.96,-1.99,-9.97%,"3,186","1,845",1.73,191.07%,Call,06/11/21
255.00,-9.28%,16.40,16.83,17.25,16.70,-1.95,-10.46%,556,226,2.46,194.29%,Call,06/11/21
260.00,-11.43%,14.85,15.25,15.65,14.75,-3.25,-18.06%,728,784,0.93,195.03%,Call,06/11/21
265.00,-13.57%,14.00,14.45,14.90,14.55,-2.21,-13.19%,173,234,0.74,200.92%,Call,06/11/21
270.00,-15.71%,12.60,13.27,13.95,13.31,-2.49,-15.76%,473,806,0.59,201.60%,Call,06/11/21
275.00,-17.85%,11.45,12.20,12.95,12.67,-2.33,-15.53%,309,184,1.68,206.54%,Call,06/11/21
280.00,-20.00%,11.00,11.50,12.00,11.55,-2.75,-19.23%,569,871,0.65,206.67%,Call,06/11/21
282.50,-21.07%,10.65,11.20,11.75,11.35,-1.95,-14.66%,224,108,2.07,209.62%,Call,06/11/21
285.00,-22.14%,10.05,10.78,11.50,11.00,-1.70,-13.39%,271,182,1.49,211.11%,Call,06/11/21
287.50,-23.21%,9.90,10.45,11.00,10.60,0.25,+2.42%,864,67,12.90,212.00%,Call,06/11/21
290.00,-24.28%,9.45,10.08,10.70,10.35,-1.95,-15.85%,431,409,1.05,214.11%,Call,06/11/21
292.50,-25.35%,9.20,9.83,10.45,9.96,-2.54,-20.32%,89,354,0.25,214.79%,Call,06/11/21
295.00,-26.42%,8.95,9.43,9.90,9.65,-2.40,-19.92%,366,134,2.73,216.08%,Call,06/11/21
297.50,-27.50%,8.70,9.18,9.65,9.14,-2.86,-23.83%,83,70,1.19,215.30%,Call,06/11/21
300.00,-28.57%,8.50,8.75,9.00,9.05,-2.65,-22.65%,"4,524","3,435",1.32,215.49%,Call,06/11/21
302.50,-29.64%,8.10,8.63,9.15,8.30,-2.95,-26.22%,313,309,1.01,214.93%,Call,06/11/21
310.00,-32.85%,7.20,7.80,8.40,8.21,-2.29,-21.81%,583,955,0.61,225.34%,Call,06/11/21
320.00,-37.14%,6.55,7.05,7.55,7.15,-1.97,-21.60%,888,"1,048",0.85,228.23%,Call,06/11/21
330.00,-41.42%,5.80,6.32,6.85,6.85,-1.85,-21.26%,368,722,0.51,238.10%,Call,06/11/21
340.00,-45.71%,5.10,5.70,6.30,5.86,-1.44,-19.73%,237,489,0.48,238.68%,Call,06/11/21
350.00,-50.00%,5.00,5.20,5.40,5.30,-2.20,-29.33%,"1,553","4,131",0.38,243.10%,Call,06/11/21
360.00,-54.28%,4.65,4.88,5.10,5.20,-1.55,-22.96%,646,629,1.03,248.25%,Call,06/11/21
370.00,-58.57%,4.30,4.55,4.80,4.75,-1.85,-28.03%,309,"1,581",0.20,256.89%,Call,06/11/21
380.00,-62.85%,4.00,4.28,4.55,4.34,-0.66,-13.20%,"1,851",663,2.79,260.69%,Call,06/11/21
390.00,-67.14%,3.70,3.93,4.15,4.15,-1.65,-28.45%,191,590,0.32,267.16%,Call,06/11/21
400.00,-71.42%,3.55,3.72,3.90,3.85,-1.65,-30.00%,"2,706","2,879",0.94,271.27%,Call,06/11/21
410.00,-75.71%,3.30,3.40,3.50,3.50,-1.40,-28.57%,135,925,0.15,273.80%,Call,06/11/21
420.00,-79.99%,3.15,3.40,3.65,3.70,-1.30,-26.00%,150,400,0.38,280.25%,Call,06/11/21
430.00,-84.28%,3.05,3.30,3.55,3.40,-0.85,-20.00%,28,167,0.17,288.23%,Call,06/11/21
440.00,-88.57%,2.92,3.16,3.40,3.25,-1.08,-24.94%,37,177,0.21,293.07%,Call,06/11/21
450.00,-92.85%,3.00,3.15,3.30,3.10,-1.19,-27.74%,721,811,0.89,297.51%,Call,06/11/21
460.00,-97.14%,2.64,2.90,3.15,2.93,-1.12,-27.65%,68,188,0.36,301.15%,Call,06/11/21
470.00,-101.42%,2.57,2.66,2.75,2.90,-0.70,-19.44%,42,648,0.06,302.14%,Call,06/11/21
480.00,-105.71%,2.44,2.69,2.93,2.86,-0.84,-22.70%,99,374,0.26,313.31%,Call,06/11/21
490.00,-109.99%,2.34,2.52,2.70,2.74,-0.66,-19.41%,42,557,0.08,312.00%,Call,06/11/21
500.00,-114.28%,2.20,2.39,2.58,2.27,-1.33,-36.94%,"1,878","2,067",0.91,312.06%,Call,06/11/21
510.00,-118.57%,2.18,2.42,2.65,2.52,-0.68,-21.25%,196,124,1.58,324.41%,Call,06/11/21
520.00,-122.85%,2.10,2.38,2.65,2.50,-0.42,-14.38%,64,300,0.21,329.88%,Call,06/11/21
530.00,-127.14%,2.01,2.25,2.49,2.40,-0.67,-21.82%,188,539,0.35,333.16%,Call,06/11/21
540.00,-131.42%,1.93,2.20,2.46,2.13,-0.87,-29.00%,46,367,0.13,331.57%,Call,06/11/21
550.00,-135.71%,1.87,2.09,2.32,2.20,-0.65,-22.81%,94,605,0.16,338.97%,Call,06/11/21
560.00,-139.99%,1.79,2.06,2.33,1.55,-1.25,-44.64%,21,430,0.05,340.35%,Call,06/11/21
570.00,-144.28%,1.76,2.03,2.30,2.10,-0.35,-14.29%,30,93,0.32,346.70%,Call,06/11/21
580.00,-148.56%,1.79,2.03,2.27,2.02,-0.68,-25.19%,428,"2,844",0.15,349.43%,Call,06/11/21
590.00,-152.85%,1.66,1.94,2.23,2.08,-0.36,-14.75%,22,41,0.54,356.18%,Call,06/11/21
600.00,-157.14%,1.73,1.98,2.23,2.06,-0.44,-17.60%,260,322,0.81,360.45%,Call,06/11/21
610.00,-161.42%,1.47,1.85,2.22,1.68,-0.81,-32.53%,9,47,0.19,353.06%,Call,06/11/21
620.00,-165.71%,1.65,1.88,2.10,1.88,-0.55,-22.63%,23,88,0.26,364.28%,Call,06/11/21
630.00,-169.99%,1.43,1.64,1.84,1.88,-0.49,-20.68%,24,113,0.21,360.56%,Call,06/11/21
640.00,-174.28%,1.39,1.79,2.18,1.89,-0.06,-3.08%,10,29,0.34,373.58%,Call,06/11/21
650.00,-178.56%,1.60,1.77,1.94,1.83,-0.53,-22.46%,116,109,1.06,375.97%,Call,06/11/21
660.00,-182.85%,1.57,1.78,1.99,1.82,-0.43,-19.11%,33,45,0.73,379.91%,Call,06/11/21
670.00,-187.13%,1.59,1.72,1.85,1.80,-0.34,-15.89%,136,158,0.86,383.42%,Call,06/11/21
680.00,-191.42%,1.52,1.59,1.66,1.59,-0.61,-27.73%,"6,149","3,002",2.05,380.04%,Call,06/11/21
5.00,-97.86%,0.01,0.01,0.01,0.01,0.00,unch,62,"1,185",0.05,897.97%,Put,06/11/21
10.00,-95.71%,0.01,0.01,0.01,0.01,0.00,unch,47,640,0.07,723.78%,Put,06/11/21
15.00,-93.57%,0.01,0.02,0.02,0.01,0.00,unch,23,363,0.06,625.98%,Put,06/11/21
20.00,-91.43%,0.01,0.02,0.02,0.02,-0.11,-84.62%,34,660,0.05,591.34%,Put,06/11/21
25.00,-89.29%,0.01,0.02,0.02,0.02,-0.02,-50.00%,84,367,0.23,536.28%,Put,06/11/21
30.00,-87.14%,0.01,0.02,0.03,0.01,-0.06,-85.71%,11,669,0.02,464.49%,Put,06/11/21
35.00,-85.00%,0.01,0.03,0.06,0.05,-0.03,-37.50%,189,216,0.88,494.80%,Put,06/11/21
40.00,-82.86%,0.02,0.05,0.08,0.03,-0.08,-72.73%,14,346,0.04,438.16%,Put,06/11/21
45.00,-80.71%,0.02,0.06,0.10,0.06,-0.08,-57.14%,20,873,0.02,437.34%,Put,06/11/21
50.00,-78.57%,0.05,0.06,0.06,0.06,-0.12,-66.67%,282,"1,946",0.14,409.70%,Put,06/11/21
55.00,-76.43%,0.05,0.09,0.13,0.07,-0.14,-66.67%,99,622,0.16,390.99%,Put,06/11/21
60.00,-74.29%,0.05,0.07,0.09,0.12,-0.23,-65.71%,148,"1,297",0.11,368.02%,Put,06/11/21
65.00,-72.14%,0.07,0.09,0.11,0.12,-0.26,-68.42%,349,739,0.47,356.42%,Put,06/11/21
70.00,-70.00%,0.08,0.11,0.13,0.12,-0.35,-74.47%,266,773,0.34,347.51%,Put,06/11/21
75.00,-67.86%,0.10,0.12,0.13,0.18,-0.44,-70.97%,55,"1,660",0.03,326.82%,Put,06/11/21
80.00,-65.72%,0.12,0.16,0.20,0.14,-0.62,-81.58%,157,"1,625",0.10,316.27%,Put,06/11/21
85.00,-63.57%,0.15,0.17,0.19,0.22,-0.51,-69.86%,267,263,1.02,306.42%,Put,06/11/21
90.00,-61.43%,0.19,0.21,0.22,0.21,-0.82,-79.61%,262,"1,509",0.17,297.94%,Put,06/11/21
95.00,-59.29%,0.20,0.23,0.26,0.24,-0.74,-75.51%,100,241,0.41,287.10%,Put,06/11/21
100.00,-57.14%,0.25,0.26,0.27,0.25,-0.94,-78.99%,"1,242","7,248",0.17,273.34%,Put,06/11/21
105.00,-55.00%,0.29,0.32,0.34,0.41,-1.00,-70.92%,119,296,0.40,267.21%,Put,06/11/21
110.00,-52.86%,0.28,0.36,0.43,0.38,-1.45,-79.23%,525,782,0.67,259.93%,Put,06/11/21
115.00,-50.72%,0.36,0.43,0.49,0.50,-1.48,-74.75%,535,464,1.15,250.14%,Put,06/11/21
120.00,-48.57%,0.42,0.48,0.54,0.51,-1.62,-76.06%,804,"1,245",0.65,243.42%,Put,06/11/21
125.00,-46.43%,0.57,0.60,0.62,0.57,-1.93,-77.20%,455,"1,613",0.28,234.26%,Put,06/11/21
130.00,-44.29%,0.58,0.65,0.72,0.68,-2.17,-76.14%,897,541,1.66,227.95%,Put,06/11/21
135.00,-42.14%,0.78,0.82,0.85,0.90,-2.55,-73.91%,134,383,0.35,222.13%,Put,06/11/21
140.00,-40.00%,0.89,0.94,0.99,0.90,-3.11,-77.56%,493,"1,660",0.30,213.23%,Put,06/11/21
145.00,-37.86%,1.04,1.14,1.23,1.10,-3.79,-77.51%,257,569,0.45,208.73%,Put,06/11/21
150.00,-35.72%,1.25,1.30,1.35,1.34,-3.87,-74.28%,"3,026","3,171",0.95,204.43%,Put,06/11/21
155.00,-33.57%,1.50,1.61,1.71,1.71,-4.49,-72.42%,327,330,0.99,202.65%,Put,06/11/21
160.00,-31.43%,1.87,1.94,2.00,1.88,-4.87,-72.15%,"1,004","1,020",0.98,194.17%,Put,06/11/21
165.00,-29.29%,2.24,2.38,2.52,2.30,-5.46,-70.36%,494,446,1.11,191.03%,Put,06/11/21
170.00,-27.14%,2.68,2.74,2.80,2.76,-6.09,-68.81%,847,"1,226",0.69,187.30%,Put,06/11/21
175.00,-25.00%,3.20,3.38,3.55,3.40,-6.90,-66.99%,331,865,0.38,185.41%,Put,06/11/21
180.00,-22.86%,4.00,4.18,4.35,4.20,-7.80,-65.00%,"2,120",636,3.33,184.34%,Put,06/11/21
185.00,-20.72%,4.85,5.15,5.45,5.00,-8.73,-63.58%,326,360,0.91,181.54%,Put,06/11/21
190.00,-18.57%,5.85,6.23,6.60,6.05,-8.85,-59.40%,686,592,1.16,180.42%,Put,06/11/21
195.00,-16.43%,7.10,7.50,7.90,7.55,-10.00,-56.98%,650,465,1.40,182.66%,Put,06/11/21
200.00,-14.29%,8.60,9.00,9.40,9.02,-10.03,-52.65%,"3,236","2,819",1.15,182.51%,Put,06/11/21
205.00,-12.15%,10.10,10.65,11.20,10.50,-10.73,-50.54%,604,271,2.23,180.79%,Put,06/11/21
210.00,-10.00%,11.20,12.05,12.90,12.00,-11.50,-48.94%,"1,634",851,1.92,177.84%,Put,06/11/21
220.00,-5.72%,16.10,16.55,17.00,16.82,-12.18,-42.00%,"1,625",551,2.95,183.21%,Put,06/11/21
225.00,-3.57%,18.60,19.43,20.25,19.30,-12.46,-39.23%,578,618,0.94,184.03%,Put,06/11/21
230.00,-1.43%,21.05,21.78,22.50,22.40,-12.58,-35.96%,499,551,0.91,188.32%,Put,06/11/21
235.00,+0.71%,24.35,25.15,25.95,25.65,-16.35,-38.93%,171,310,0.55,192.37%,Put,06/11/21
240.00,+2.85%,27.00,28.10,29.20,27.80,-14.40,-34.12%,283,600,0.47,186.59%,Put,06/11/21
245.00,+5.00%,30.45,31.65,32.85,31.34,-15.03,-32.41%,345,158,2.18,190.41%,Put,06/11/21
250.00,+7.14%,33.00,34.70,36.40,35.07,-14.13,-28.72%,303,816,0.37,194.61%,Put,06/11/21
255.00,+9.28%,37.30,38.75,40.20,38.63,-15.50,-28.63%,81,202,0.40,196.45%,Put,06/11/21
260.00,+11.43%,40.80,42.25,43.70,44.60,-12.51,-21.91%,74,330,0.22,197.78%,Put,06/11/21
265.00,+13.57%,44.95,46.25,47.55,46.20,-18.95,-29.09%,45,52,0.87,200.86%,Put,06/11/21
270.00,+15.71%,49.20,50.35,51.50,51.60,-14.40,-21.82%,86,422,0.20,204.79%,Put,06/11/21
275.00,+17.85%,53.25,54.78,56.30,61.25,-7.15,-10.45%,40,117,0.34,210.34%,Put,06/11/21
280.00,+20.00%,56.90,58.45,60.00,58.90,-16.01,-21.37%,38,216,0.18,212.71%,Put,06/11/21
282.50,+21.07%,59.05,60.72,62.40,78.35,18.45,+30.80%,5,23,0.22,211.55%,Put,06/11/21
285.00,+22.14%,61.10,63.00,64.90,70.70,-7.17,-9.21%,10,64,0.16,214.18%,Put,06/11/21
287.50,+23.21%,63.25,65.30,67.35,71.05,-10.46,-12.83%,3,34,0.09,216.91%,Put,06/11/21
290.00,+24.28%,65.45,67.28,69.10,66.93,-17.57,-20.79%,22,168,0.13,213.40%,Put,06/11/21
292.50,+25.35%,67.65,69.35,71.05,74.59,-11.35,-13.21%,1,29,0.03,216.96%,Put,06/11/21
295.00,+26.42%,69.50,71.50,73.50,79.40,-7.43,-8.56%,8,95,0.08,217.90%,Put,06/11/21
297.50,+27.50%,72.00,73.78,75.55,75.50,-13.47,-15.14%,2,102,0.02,236.03%,Put,06/11/21
300.00,+28.57%,73.95,76.00,78.05,75.73,-16.43,-17.83%,96,"3,257",0.03,218.66%,Put,06/11/21
302.50,+29.64%,75.80,77.82,79.85,78.85,-19.44,-19.78%,19,89,0.21,228.66%,Put,06/11/21
310.00,+32.85%,83.05,85.07,87.10,89.90,-10.34,-10.32%,6,154,0.04,227.48%,Put,06/11/21
320.00,+37.14%,91.50,94.18,96.85,94.00,-16.00,-14.55%,39,150,0.26,230.36%,Put,06/11/21
330.00,+41.42%,101.15,103.65,106.15,109.28,-8.72,-7.39%,5,54,0.09,239.74%,Put,06/11/21
340.00,+45.71%,110.35,113.10,115.85,121.56,-7.13,-5.54%,12,67,0.18,245.82%,Put,06/11/21
350.00,+50.00%,120.35,122.35,124.35,122.00,-15.67,-11.38%,27,103,0.26,243.67%,Put,06/11/21
360.00,+54.28%,129.20,131.70,134.20,137.00,64.80,+89.75%,10,110,0.09,250.60%,Put,06/10/21
370.00,+58.57%,138.85,141.52,144.20,152.60,72.90,+91.47%,3,120,0.03,258.59%,Put,06/10/21
380.00,+62.85%,148.95,151.73,154.50,160.00,-14.00,-8.05%,6,112,0.05,271.50%,Put,06/11/21
390.00,+67.14%,158.35,161.33,164.30,95.35,-73.55,-43.55%,6,10,0.60,275.23%,Put,06/09/21
400.00,+71.42%,167.65,170.68,173.70,173.75,12.32,+7.63%,6,137,0.04,274.09%,Put,06/11/21
410.00,+75.71%,177.70,180.70,183.70,192.35,73.46,+61.79%,4,19,0.21,283.23%,Put,06/11/21
420.00,+79.99%,187.15,190.43,193.70,205.85,81.10,+65.01%,2,9,0.22,286.91%,Put,06/11/21
430.00,+84.28%,197.05,200.33,203.60,210.30,78.95,+60.11%,2,32,0.06,293.20%,Put,06/11/21
440.00,+88.57%,206.90,210.20,213.50,164.88,20.38,+14.10%,1,23,0.04,298.69%,Put,06/10/21
450.00,+92.85%,216.75,220.08,223.40,179.90,179.90,unch,5,11,0.45,303.83%,Put,06/08/21
460.00,+97.14%,226.60,229.95,233.30,226.95,36.95,+19.45%,1,6,0.17,308.64%,Put,06/10/21
470.00,+101.42%,236.50,239.85,243.20,173.34,-53.01,-23.42%,1,6,0.17,313.64%,Put,06/09/21
480.00,+105.71%,246.40,249.75,253.10,220.40,37.76,+20.67%,5,12,0.42,318.36%,Put,06/10/21
490.00,+109.99%,256.30,259.68,263.05,267.60,55.89,+26.40%,1,2,0.50,323.35%,Put,06/11/21
500.00,+114.28%,266.20,269.65,273.10,272.00,8.55,+3.25%,8,9,0.89,373.06%,Put,06/11/21
510.00,+118.57%,276.10,279.58,283.05,282.45,32.30,+12.91%,2,5,0.40,386.96%,Put,06/11/21
520.00,+122.85%,286.00,289.50,293.00,0.00,0.00,unch,0,1,0.00,338.13%,Put,N/A
530.00,+127.14%,295.95,299.42,302.90,282.20,282.20,unch,1,6,0.17,342.26%,Put,06/10/21
540.00,+131.42%,305.85,309.35,312.85,0.00,0.00,unch,0,1,0.00,346.20%,Put,N/A
550.00,+135.71%,315.80,319.30,322.80,297.90,297.90,unch,1,2,0.50,350.56%,Put,06/07/21
560.00,+139.99%,325.75,329.25,332.75,337.28,337.28,unch,1,0,0.00,354.76%,Put,06/11/21
570.00,+144.28%,335.65,339.17,342.70,322.26,322.26,unch,1,2,0.50,358.15%,Put,06/07/21
580.00,+148.56%,345.60,349.13,352.65,292.70,-39.31,-11.84%,1,1,1.00,362.02%,Put,06/08/21
590.00,+152.85%,355.55,359.00,362.45,0.00,0.00,unch,0,0,0.00,363.71%,Put,N/A
600.00,+157.14%,365.50,368.95,372.40,329.35,329.35,unch,6,6,1.00,367.25%,Put,06/10/21
610.00,+161.42%,375.45,378.90,382.35,0.00,0.00,unch,0,0,0.00,370.65%,Put,N/A
620.00,+165.71%,385.40,388.85,392.30,0.00,0.00,unch,0,0,0.00,373.91%,Put,N/A
630.00,+169.99%,395.35,398.83,402.30,0.00,0.00,unch,0,0,0.00,377.78%,Put,N/A
640.00,+174.28%,405.30,408.78,412.25,0.00,0.00,unch,0,0,0.00,380.79%,Put,N/A
650.00,+178.56%,415.25,418.73,422.20,0.00,0.00,unch,0,0,0.00,383.68%,Put,N/A
660.00,+182.85%,425.20,428.67,432.15,0.00,0.00,unch,0,0,0.00,386.43%,Put,N/A
670.00,+187.13%,435.15,438.65,442.15,0.00,0.00,unch,0,0,0.00,389.87%,Put,N/A
680.00,+191.42%,445.10,448.60,452.10,464.90,464.90,unch,1,0,0.00,392.40%,Put,06/11/21
"Downloaded from Barchart.com as of 06-12-2021 09:09am CDT"
