Type,Strike,Volume,Bid.Vol,Bid,Ask,Ask.Vol,Last,Mid
Call,410,135,15,3.3,3.5,5,3.5,3.4
Call,420,150,10,3.15,3.65,31,3.7,3.4
Call,430,28,3,3.05,3.55,12,3.4,3.3
Call,440,37,4,2.92,3.4,14,3.25,3.16
Call,450,721,1,3,3.3,7,3.1,3.15
Call,460,68,8,2.64,3.15,7,2.93,2.895
Call,470,42,2,2.57,2.75,1,2.9,2.66
Call,480,99,6,2.44,2.93,8,2.86,2.685
Call,490,42,3,2.34,2.7,2,2.74,2.52
Call,500,1.878,11,2.2,2.58,5,2.27,2.39
Call,510,196,6,2.18,2.65,8,2.52,2.415
Call,520,64,4,2.1,2.65,7,2.5,2.375
Call,530,188,1,2.01,2.49,7,2.4,2.25
Call,540,46,12,1.93,2.46,7,2.13,2.195
Call,550,94,4,1.87,2.32,7,2.2,2.095
Call,560,21,4,1.79,2.33,5,1.55,2.06
Call,570,30,4,1.76,2.3,1,2.1,2.03
Call,580,428,1,1.79,2.27,4,2.02,2.03
Call,590,22,4,1.66,2.23,4,2.08,1.945
Call,600,260,1,1.73,2.23,10,2.06,1.98
Call,610,9,12,1.47,2.22,12,1.68,1.845
Call,620,23,1,1.65,2.1,1,1.88,1.875
Call,630,24,2,1.43,1.84,2,1.88,1.635
Call,640,10,2,1.39,2.18,10,1.89,1.785
Call,650,116,1,1.6,1.94,2,1.83,1.77
Call,660,33,1,1.57,1.99,2,1.82,1.78
Call,670,136,1,1.59,1.85,2,1.8,1.72
Call,680,6.149,1,1.52,1.66,13,1.59,1.59
Put,5,62,,,0.01,114,0.01,0.005
Put,10,47,39,0.01,0.01,4,0.01,0.01
Put,15,23,6,0.01,0.02,100,0.01,0.015
Put,20,34,4,0.01,0.02,102,0.02,0.015
Put,25,84,3,0.01,0.02,3,0.02,0.015
Put,30,11,99,0.01,0.03,2,0.01,0.02
Put,35,189,5,0.01,0.06,100,0.05,0.035
Put,40,14,5,0.02,0.08,3,0.03,0.05
Put,45,20,6,0.02,0.1,49,0.06,0.06
Put,50,282,10,0.05,0.06,3,0.06,0.055
Put,55,99,5,0.05,0.13,6,0.07,0.09
Put,60,148,15,0.05,0.09,2,0.12,0.07
Put,65,349,2,0.07,0.11,2,0.12,0.09
Put,70,266,3,0.08,0.13,4,0.12,0.105
Put,75,55,4,0.1,0.13,2,0.18,0.115
Put,80,157,4,0.12,0.2,4,0.14,0.16
Put,85,267,8,0.15,0.19,1,0.22,0.17
Put,90,262,1,0.19,0.22,14,0.21,0.205
Put,95,100,4,0.2,0.26,4,0.24,0.23
Put,100,1.242,1,0.25,0.27,9,0.25,0.26
Put,105,119,7,0.29,0.34,12,0.41,0.315
Put,110,525,26,0.28,0.43,15,0.38,0.355
Put,115,535,4,0.36,0.49,16,0.5,0.425
Put,120,804,11,0.42,0.54,31,0.51,0.48
Put,125,455,1,0.57,0.62,14,0.57,0.595
Put,130,897,33,0.58,0.72,1,0.68,0.65
Put,135,134,2,0.78,0.85,18,0.9,0.815
Put,140,493,10,0.89,0.99,33,0.9,0.94
Put,145,257,9,1.04,1.23,10,1.1,1.135
Put,150,3.026,6,1.25,1.35,1,1.34,1.3
Put,155,327,11,1.5,1.71,10,1.71,1.605
Put,160,1.004,23,1.87,2,1,1.88,1.935
Put,165,494,5,2.24,2.52,13,2.3,2.38
Put,170,847,7,2.68,2.8,10,2.76,2.74
Put,175,331,5,3.2,3.55,1,3.4,3.375
Put,180,2.12,27,4,4.35,26,4.2,4.175
Put,185,326,8,4.85,5.45,11,5,5.15
Put,190,686,20,5.85,6.6,8,6.05,6.225
Put,195,650,5,7.1,7.9,10,7.55,7.5
Put,200,3.228,1,8.6,9.4,7,9.02,9
Put,205,604,3,10.1,11.2,7,10.5,10.65
Put,210,1.634,14,11.2,12.9,6,12,12.05
Put,220,1.625,3,16.1,17,1,16.82,16.55
Put,225,578,10,18.6,20.25,10,19.3,19.425
Put,230,499,11,21.05,22.5,5,22.4,21.775
Put,235,171,3,24.35,25.95,7,25.65,25.15
Put,240,283,1,27,29.2,7,27.8,28.1
Put,245,345,4,30.45,32.85,3,31.34,31.65
Put,250,303,2,33,36.4,7,35.07,34.7
Put,255,81,14,37.3,40.2,4,38.63,38.75
Put,260,74,16,40.8,43.7,7,44.6,42.25
Put,265,45,6,44.95,47.55,3,46.2,46.25
Put,270,86,14,49.2,51.5,11,51.6,50.35
Put,275,40,1,53.25,56.3,3,61.25,54.775
Put,280,38,16,56.9,60,6,58.9,58.45
Put,282.5,5,3,59.05,62.4,6,78.35,60.725
Put,285,10,5,61.1,64.9,1,70.7,63
Put,287.5,3,14,63.25,67.35,14,71.05,65.3
Put,290,22,16,65.45,69.1,6,66.93,67.275
Put,292.5,1,5,67.65,71.05,4,74.59,69.35
Put,295,8,6,69.5,73.5,1,79.4,71.5
Put,297.5,2,4,72,75.55,5,75.5,73.775
Put,300,96,17,73.95,78.05,17,75.73,76
Put,302.5,19,5,75.8,79.85,6,78.85,77.825
Put,310,6,14,83.05,87.1,4,89.9,85.075
Put,320,39,2,91.5,96.85,1,94,94.175
Put,330,5,3,101.15,106.15,1,109.28,103.65
Put,340,12,34,110.35,115.85,15,121.56,113.1
Put,350,27,18,120.35,124.35,3,122,122.35
Put,360,,14,129.2,134.2,29,137,131.7
Put,370,,1,138.85,144.2,29,152.6,141.525
Put,380,6,1,148.95,154.5,14,160,151.725
Put,390,,14,158.35,164.3,3,95.35,161.325
Put,400,6,14,167.65,173.7,15,173.75,170.675
Put,410,4,5,177.7,183.7,24,192.35,180.7
Put,420,2,2,187.15,193.7,17,205.85,190.425
Put,430,2,14,197.05,203.6,3,210.3,200.325
Put,440,,14,206.9,213.5,3,164.88,210.2
Put,450,,14,216.75,223.4,4,179.9,220.075
Put,460,,14,226.6,233.3,1,226.95,229.95
Put,470,,16,236.5,243.2,1,173.34,239.85
Put,480,,14,246.4,253.1,1,220.4,249.75
Put,490,1,15,256.3,263.05,1,267.6,259.675
Put,500,8,14,266.2,273.1,14,272,269.65
Put,510,2,14,276.1,283.05,14,282.45,279.575
Put,520,,14,286,293,14,,289.5
Put,530,,14,295.95,302.9,6,282.2,299.425
Put,540,,14,305.85,312.85,14,,309.35
Put,550,,14,315.8,322.8,14,297.9,319.3
Put,560,1,14,325.75,332.75,14,337.28,329.25
Put,570,,14,335.65,342.7,14,322.26,339.175
Put,580,,14,345.6,352.65,14,292.7,349.125
Put,590,,14,355.55,362.45,2,,359
Put,600,,14,365.5,372.4,1,329.35,368.95
Put,610,,14,375.45,382.35,1,,378.9
Put,620,,14,385.4,392.3,1,,388.85
Put,630,,14,395.35,402.3,1,,398.825
Put,640,,14,405.3,412.25,1,,408.775
Put,650,,14,415.25,422.2,1,,418.725
Put,660,,14,425.2,432.15,1,,428.675
Put,670,,14,435.15,442.15,1,,438.65
Put,680,1,14,445.1,452.1,1,464.9,448.6
